year,month,latitude,upwelling_index,model
1980.0,1.0,31.0,0.348,gfdl
1980.0,1.0,32.0,0.15,gfdl
1980.0,1.0,33.0,0.326,gfdl
1980.0,1.0,34.0,0.241,gfdl
1980.0,1.0,35.0,0.379,gfdl
1980.0,1.0,36.0,0.432,gfdl
1980.0,1.0,37.0,0.244,gfdl
1980.0,1.0,38.0,0.076,gfdl
1980.0,1.0,39.0,0.153,gfdl
1980.0,1.0,40.0,-0.259,gfdl
1980.0,1.0,41.0,-0.193,gfdl
1980.0,1.0,42.0,-0.167,gfdl
1980.0,1.0,43.0,-0.179,gfdl
1980.0,1.0,44.0,-0.42,gfdl
1980.0,1.0,45.0,-0.029,gfdl
1980.0,1.0,46.0,0.009,gfdl
1980.0,1.0,47.0,-0.017,gfdl
1980.0,2.0,31.0,0.401,gfdl
1980.0,2.0,32.0,0.254,gfdl
1980.0,2.0,33.0,0.457,gfdl
1980.0,2.0,34.0,0.332,gfdl
1980.0,2.0,35.0,0.54,gfdl
1980.0,2.0,36.0,0.328,gfdl
1980.0,2.0,37.0,0.184,gfdl
1980.0,2.0,38.0,0.079,gfdl
1980.0,2.0,39.0,0.006,gfdl
1980.0,2.0,40.0,-0.18,gfdl
1980.0,2.0,41.0,-0.81,gfdl
1980.0,2.0,42.0,-0.68,gfdl
1980.0,2.0,43.0,-0.912,gfdl
1980.0,2.0,44.0,-1.148,gfdl
1980.0,2.0,45.0,-0.678,gfdl
1980.0,2.0,46.0,-0.32,gfdl
1980.0,2.0,47.0,-0.4,gfdl
1980.0,3.0,31.0,0.353,gfdl
1980.0,3.0,32.0,0.356,gfdl
1980.0,3.0,33.0,0.581,gfdl
1980.0,3.0,34.0,0.794,gfdl
1980.0,3.0,35.0,1.57,gfdl
1980.0,3.0,36.0,1.36,gfdl
1980.0,3.0,37.0,1.411,gfdl
1980.0,3.0,38.0,1.823,gfdl
1980.0,3.0,39.0,2.269,gfdl
1980.0,3.0,40.0,1.831,gfdl
1980.0,3.0,41.0,1.518,gfdl
1980.0,3.0,42.0,1.151,gfdl
1980.0,3.0,43.0,1.042,gfdl
1980.0,3.0,44.0,-0.139,gfdl
1980.0,3.0,45.0,0.267,gfdl
1980.0,3.0,46.0,0.27,gfdl
1980.0,3.0,47.0,0.135,gfdl
1980.0,4.0,31.0,0.534,gfdl
1980.0,4.0,32.0,0.517,gfdl
1980.0,4.0,33.0,0.674,gfdl
1980.0,4.0,34.0,0.816,gfdl
1980.0,4.0,35.0,1.307,gfdl
1980.0,4.0,36.0,1.037,gfdl
1980.0,4.0,37.0,1.085,gfdl
1980.0,4.0,38.0,1.26,gfdl
1980.0,4.0,39.0,1.586,gfdl
1980.0,4.0,40.0,1.215,gfdl
1980.0,4.0,41.0,1.077,gfdl
1980.0,4.0,42.0,0.852,gfdl
1980.0,4.0,43.0,0.913,gfdl
1980.0,4.0,44.0,-0.157,gfdl
1980.0,4.0,45.0,0.128,gfdl
1980.0,4.0,46.0,0.126,gfdl
1980.0,4.0,47.0,0.027,gfdl
1980.0,5.0,31.0,0.493,gfdl
1980.0,5.0,32.0,0.536,gfdl
1980.0,5.0,33.0,0.685,gfdl
1980.0,5.0,34.0,0.987,gfdl
1980.0,5.0,35.0,1.541,gfdl
1980.0,5.0,36.0,1.159,gfdl
1980.0,5.0,37.0,1.007,gfdl
1980.0,5.0,38.0,0.981,gfdl
1980.0,5.0,39.0,1.373,gfdl
1980.0,5.0,40.0,0.942,gfdl
1980.0,5.0,41.0,0.674,gfdl
1980.0,5.0,42.0,0.806,gfdl
1980.0,5.0,43.0,0.46,gfdl
1980.0,5.0,44.0,0.071,gfdl
1980.0,5.0,45.0,0.182,gfdl
1980.0,5.0,46.0,0.093,gfdl
1980.0,5.0,47.0,0.089,gfdl
1980.0,6.0,31.0,0.536,gfdl
1980.0,6.0,32.0,0.503,gfdl
1980.0,6.0,33.0,0.482,gfdl
1980.0,6.0,34.0,0.749,gfdl
1980.0,6.0,35.0,1.496,gfdl
1980.0,6.0,36.0,1.049,gfdl
1980.0,6.0,37.0,0.961,gfdl
1980.0,6.0,38.0,1.346,gfdl
1980.0,6.0,39.0,1.64,gfdl
1980.0,6.0,40.0,1.38,gfdl
1980.0,6.0,41.0,1.033,gfdl
1980.0,6.0,42.0,1.209,gfdl
1980.0,6.0,43.0,0.636,gfdl
1980.0,6.0,44.0,0.198,gfdl
1980.0,6.0,45.0,0.29,gfdl
1980.0,6.0,46.0,0.126,gfdl
1980.0,6.0,47.0,0.128,gfdl
1980.0,7.0,31.0,0.549,gfdl
1980.0,7.0,32.0,0.484,gfdl
1980.0,7.0,33.0,0.48,gfdl
1980.0,7.0,34.0,0.641,gfdl
1980.0,7.0,35.0,1.056,gfdl
1980.0,7.0,36.0,0.735,gfdl
1980.0,7.0,37.0,0.648,gfdl
1980.0,7.0,38.0,0.99,gfdl
1980.0,7.0,39.0,1.524,gfdl
1980.0,7.0,40.0,1.012,gfdl
1980.0,7.0,41.0,0.73,gfdl
1980.0,7.0,42.0,0.905,gfdl
1980.0,7.0,43.0,0.653,gfdl
1980.0,7.0,44.0,0.429,gfdl
1980.0,7.0,45.0,0.465,gfdl
1980.0,7.0,46.0,0.276,gfdl
1980.0,7.0,47.0,0.239,gfdl
1980.0,8.0,31.0,0.423,gfdl
1980.0,8.0,32.0,0.386,gfdl
1980.0,8.0,33.0,0.321,gfdl
1980.0,8.0,34.0,0.597,gfdl
1980.0,8.0,35.0,1.449,gfdl
1980.0,8.0,36.0,1.061,gfdl
1980.0,8.0,37.0,0.979,gfdl
1980.0,8.0,38.0,1.344,gfdl
1980.0,8.0,39.0,1.967,gfdl
1980.0,8.0,40.0,1.284,gfdl
1980.0,8.0,41.0,0.752,gfdl
1980.0,8.0,42.0,0.609,gfdl
1980.0,8.0,43.0,0.352,gfdl
1980.0,8.0,44.0,0.19,gfdl
1980.0,8.0,45.0,0.285,gfdl
1980.0,8.0,46.0,0.213,gfdl
1980.0,8.0,47.0,0.274,gfdl
1980.0,9.0,31.0,0.249,gfdl
1980.0,9.0,32.0,0.302,gfdl
1980.0,9.0,33.0,0.28,gfdl
1980.0,9.0,34.0,0.293,gfdl
1980.0,9.0,35.0,0.553,gfdl
1980.0,9.0,36.0,0.267,gfdl
1980.0,9.0,37.0,0.184,gfdl
1980.0,9.0,38.0,0.333,gfdl
1980.0,9.0,39.0,0.998,gfdl
1980.0,9.0,40.0,0.825,gfdl
1980.0,9.0,41.0,0.64,gfdl
1980.0,9.0,42.0,0.648,gfdl
1980.0,9.0,43.0,0.509,gfdl
1980.0,9.0,44.0,0.34,gfdl
1980.0,9.0,45.0,0.298,gfdl
1980.0,9.0,46.0,0.293,gfdl
1980.0,9.0,47.0,0.266,gfdl
1980.0,10.0,31.0,0.152,gfdl
1980.0,10.0,32.0,0.178,gfdl
1980.0,10.0,33.0,0.189,gfdl
1980.0,10.0,34.0,0.126,gfdl
1980.0,10.0,35.0,0.308,gfdl
1980.0,10.0,36.0,0.122,gfdl
1980.0,10.0,37.0,0.201,gfdl
1980.0,10.0,38.0,0.285,gfdl
1980.0,10.0,39.0,0.71,gfdl
1980.0,10.0,40.0,0.749,gfdl
1980.0,10.0,41.0,0.599,gfdl
1980.0,10.0,42.0,0.576,gfdl
1980.0,10.0,43.0,0.488,gfdl
1980.0,10.0,44.0,0.324,gfdl
1980.0,10.0,45.0,0.262,gfdl
1980.0,10.0,46.0,0.289,gfdl
1980.0,10.0,47.0,0.192,gfdl
1980.0,11.0,31.0,0.139,gfdl
1980.0,11.0,32.0,0.129,gfdl
1980.0,11.0,33.0,0.183,gfdl
1980.0,11.0,34.0,0.19,gfdl
1980.0,11.0,35.0,0.505,gfdl
1980.0,11.0,36.0,0.334,gfdl
1980.0,11.0,37.0,0.304,gfdl
1980.0,11.0,38.0,0.405,gfdl
1980.0,11.0,39.0,0.601,gfdl
1980.0,11.0,40.0,0.462,gfdl
1980.0,11.0,41.0,0.303,gfdl
1980.0,11.0,42.0,0.022,gfdl
1980.0,11.0,43.0,-0.387,gfdl
1980.0,11.0,44.0,-0.469,gfdl
1980.0,11.0,45.0,-0.551,gfdl
1980.0,11.0,46.0,-0.353,gfdl
