Date,NPGO
1/1/1950,-2.188
2/1/1950,-1.446
3/1/1950,-0.965
4/1/1950,-0.859
5/1/1950,-0.634
6/1/1950,-0.581
7/1/1950,-0.742
8/1/1950,-0.549
9/1/1950,-0.602
10/1/1950,0.119
11/1/1950,-0.257
12/1/1950,-0.493
1/1/1951,-0.479
2/1/1951,-0.414
3/1/1951,-0.57
4/1/1951,-0.561
5/1/1951,-1.071
6/1/1951,-1.435
7/1/1951,-1.104
8/1/1951,-1.175
9/1/1951,-1.42
10/1/1951,-1.069
11/1/1951,-1.012
12/1/1951,-1.225
1/1/1952,-1.335
2/1/1952,-1.091
3/1/1952,-0.67
4/1/1952,-0.434
5/1/1952,-0.627
6/1/1952,-0.973
7/1/1952,-1.336
8/1/1952,-0.897
9/1/1952,-0.583
10/1/1952,-0.258
11/1/1952,-0.316
12/1/1952,0.845
1/1/1953,0.944
2/1/1953,0.748
3/1/1953,1.217
4/1/1953,1.25
5/1/1953,1.271
6/1/1953,1.057
7/1/1953,1.041
8/1/1953,0.619
9/1/1953,0.291
10/1/1953,1.082
11/1/1953,2.05
12/1/1953,1.419
1/1/1954,1.094
2/1/1954,1.157
3/1/1954,0.079
4/1/1954,-0.373
5/1/1954,-0.164
6/1/1954,0.178
7/1/1954,-0.035
8/1/1954,-0.132
9/1/1954,-0.263
10/1/1954,0.184
11/1/1954,0.355
12/1/1954,0.404
1/1/1955,0.326
2/1/1955,-0.249
3/1/1955,-0.216
4/1/1955,0.041
5/1/1955,0.261
6/1/1955,-0.016
7/1/1955,-0.088
8/1/1955,0.275
9/1/1955,-0.11
10/1/1955,-0.524
11/1/1955,-0.08
12/1/1955,-0.518
1/1/1956,0.12
2/1/1956,-0.138
3/1/1956,0.023
4/1/1956,-0.038
5/1/1956,0.142
6/1/1956,0.471
7/1/1956,0.464
8/1/1956,0.54
9/1/1956,0.301
10/1/1956,-0.052
11/1/1956,-0.226
12/1/1956,-0.767
1/1/1957,-1.272
2/1/1957,-1.959
3/1/1957,-1.339
4/1/1957,-1.255
5/1/1957,-1.038
6/1/1957,-1.168
7/1/1957,-0.756
8/1/1957,-0.905
9/1/1957,-0.922
10/1/1957,-1.029
11/1/1957,-1.407
12/1/1957,-0.717
1/1/1958,0.117
2/1/1958,0.147
3/1/1958,-1.152
4/1/1958,-0.719
5/1/1958,-0.851
6/1/1958,-0.723
7/1/1958,-0.87
8/1/1958,-0.629
9/1/1958,-0.204
10/1/1958,-0.509
11/1/1958,-0.775
12/1/1958,-0.405
1/1/1959,0.123
2/1/1959,-0.591
3/1/1959,-0.392
4/1/1959,-0.451
5/1/1959,-0.438
6/1/1959,-0.373
7/1/1959,-0.396
8/1/1959,-0.504
9/1/1959,0.073
10/1/1959,0.134
11/1/1959,-0.048
12/1/1959,0.423
1/1/1960,1.016
2/1/1960,0.819
3/1/1960,0.863
4/1/1960,0.793
5/1/1960,0.919
6/1/1960,0.313
7/1/1960,0.709
8/1/1960,0.438
9/1/1960,0.524
10/1/1960,0.489
11/1/1960,0.953
12/1/1960,1.136
1/1/1961,1.103
2/1/1961,1.359
3/1/1961,1.749
4/1/1961,0.957
5/1/1961,1.4
6/1/1961,1.202
7/1/1961,1.063
8/1/1961,1.075
9/1/1961,0.773
10/1/1961,0.349
11/1/1961,0.221
12/1/1961,0.397
1/1/1962,0.175
2/1/1962,-0.15
3/1/1962,-0.608
4/1/1962,-0.471
5/1/1962,-0.739
6/1/1962,-0.304
7/1/1962,-0.062
8/1/1962,-0.371
9/1/1962,0.334
10/1/1962,0.164
11/1/1962,0.446
12/1/1962,0.465
1/1/1963,-0.813
2/1/1963,-0.28
3/1/1963,-1.097
4/1/1963,-0.811
5/1/1963,-0.428
6/1/1963,-0.716
7/1/1963,-0.367
8/1/1963,-0.135
9/1/1963,0.12
10/1/1963,0.507
11/1/1963,0.661
12/1/1963,0.541
1/1/1964,1.073
2/1/1964,0.292
3/1/1964,0.352
4/1/1964,0.25
5/1/1964,0.272
6/1/1964,0.884
7/1/1964,1.604
8/1/1964,0.782
9/1/1964,0.913
10/1/1964,0.713
11/1/1964,0.074
12/1/1964,-0.679
1/1/1965,-0.609
2/1/1965,-0.838
3/1/1965,-0.943
4/1/1965,-0.879
5/1/1965,-1.159
6/1/1965,-0.83
7/1/1965,-0.692
8/1/1965,-0.444
9/1/1965,-0.857
10/1/1965,-0.683
11/1/1965,-0.918
12/1/1965,-1.194
1/1/1966,-0.323
2/1/1966,-1.114
3/1/1966,-0.599
4/1/1966,-1.369
5/1/1966,-1.679
6/1/1966,-1.264
7/1/1966,-1.114
8/1/1966,-0.978
9/1/1966,-0.753
10/1/1966,-0.8
11/1/1966,-0.938
12/1/1966,-0.545
1/1/1967,-0.736
2/1/1967,-0.61
3/1/1967,-1.119
4/1/1967,-0.891
5/1/1967,-0.995
6/1/1967,-1.252
7/1/1967,-1.173
8/1/1967,-0.754
9/1/1967,-0.052
10/1/1967,0.007
11/1/1967,-0.588
12/1/1967,-0.233
1/1/1968,-0.766
2/1/1968,-0.626
3/1/1968,-0.632
4/1/1968,-1.158
5/1/1968,-1.259
6/1/1968,-1.038
7/1/1968,-1.021
8/1/1968,-0.96
9/1/1968,-0.915
10/1/1968,-0.738
11/1/1968,-0.225
12/1/1968,-0.869
1/1/1969,-2.559
2/1/1969,-0.737
3/1/1969,-0.733
4/1/1969,-0.183
5/1/1969,-0.091
6/1/1969,-0.776
7/1/1969,-0.731
8/1/1969,-0.232
9/1/1969,0.015
10/1/1969,0.29
11/1/1969,-0.041
12/1/1969,1.127
1/1/1970,-0.192
2/1/1970,-0.321
3/1/1970,-0.413
4/1/1970,-0.222
5/1/1970,0.484
6/1/1970,0.371
7/1/1970,0.272
8/1/1970,0.413
9/1/1970,0.399
10/1/1970,0.226
11/1/1970,-0.214
12/1/1970,-0.072
1/1/1971,-0.202
2/1/1971,0.06
3/1/1971,0.454
4/1/1971,0.854
5/1/1971,0.495
6/1/1971,0.413
7/1/1971,0.791
8/1/1971,0.706
9/1/1971,0.528
10/1/1971,0.331
11/1/1971,0.182
12/1/1971,-0.028
1/1/1972,-0.531
2/1/1972,-0.408
3/1/1972,-0.694
4/1/1972,-0.681
5/1/1972,-0.747
6/1/1972,-0.761
7/1/1972,-0.322
8/1/1972,-0.427
9/1/1972,-0.925
10/1/1972,-1.095
11/1/1972,-0.556
12/1/1972,-0.762
1/1/1973,-0.048
2/1/1973,-0.503
3/1/1973,-0.072
4/1/1973,-0.051
5/1/1973,0.255
6/1/1973,0.514
7/1/1973,0.324
8/1/1973,0.167
9/1/1973,0.357
10/1/1973,0.35
11/1/1973,-0.113
12/1/1973,0.339
1/1/1974,-1.003
2/1/1974,-0.386
3/1/1974,-0.026
4/1/1974,0.015
5/1/1974,-0.166
6/1/1974,0.219
7/1/1974,0.377
8/1/1974,0.262
9/1/1974,-0.168
10/1/1974,0.007
11/1/1974,0.043
12/1/1974,0.716
1/1/1975,0.639
2/1/1975,0.985
3/1/1975,0.716
4/1/1975,0.649
5/1/1975,0.716
6/1/1975,0.458
7/1/1975,0.511
8/1/1975,1.026
9/1/1975,0.573
10/1/1975,0.956
11/1/1975,1.274
12/1/1975,1.079
1/1/1976,1.078
2/1/1976,1.183
3/1/1976,1.68
4/1/1976,2.436
5/1/1976,2.181
6/1/1976,2.067
7/1/1976,2.267
8/1/1976,2.436
9/1/1976,2.432
10/1/1976,1.693
11/1/1976,1.575
12/1/1976,1.33
1/1/1977,1.322
2/1/1977,1.934
3/1/1977,1.699
4/1/1977,1.396
5/1/1977,1.072
6/1/1977,0.924
7/1/1977,1.037
8/1/1977,1.285
9/1/1977,0.766
10/1/1977,1.253
11/1/1977,1.449
12/1/1977,0.854
1/1/1978,1.215
2/1/1978,1.245
3/1/1978,0.616
4/1/1978,0.453
5/1/1978,0.587
6/1/1978,0.384
7/1/1978,0.426
8/1/1978,0.864
9/1/1978,1.286
10/1/1978,0.352
11/1/1978,-0.259
12/1/1978,-1.115
1/1/1979,-0.515
2/1/1979,-0.233
3/1/1979,-0.629
4/1/1979,-1.034
5/1/1979,-0.782
6/1/1979,-0.823
7/1/1979,-1.148
8/1/1979,-1.251
9/1/1979,-0.785
10/1/1979,-0.613
11/1/1979,-0.492
12/1/1979,-0.541
1/1/1980,-1.903
2/1/1980,-1.722
3/1/1980,-1.151
4/1/1980,-0.066
5/1/1980,-0.211
6/1/1980,-0.683
7/1/1980,-0.99
8/1/1980,-1.083
9/1/1980,-0.697
10/1/1980,-0.066
11/1/1980,-0.135
12/1/1980,-0.283
1/1/1981,-0.264
2/1/1981,-1.058
3/1/1981,-0.691
4/1/1981,-0.627
5/1/1981,0.2
6/1/1981,0.009
7/1/1981,-0.526
8/1/1981,-0.698
9/1/1981,0.003
10/1/1981,-0.288
11/1/1981,0.756
12/1/1981,0.521
1/1/1982,-0.2
2/1/1982,-0.873
3/1/1982,-0.621
4/1/1982,-1.071
5/1/1982,-0.993
6/1/1982,-0.848
7/1/1982,-0.611
8/1/1982,-0.457
9/1/1982,-0.46
10/1/1982,-1.007
11/1/1982,-0.866
12/1/1982,-0.234
1/1/1983,0.605
2/1/1983,0.474
3/1/1983,0.43
4/1/1983,-0.721
5/1/1983,-0.744
6/1/1983,-0.077
7/1/1983,-0.049
8/1/1983,-0.01
9/1/1983,-0.41
10/1/1983,-0.487
11/1/1983,0.561
12/1/1983,-0.678
1/1/1984,-0.215
2/1/1984,0.401
3/1/1984,0.719
4/1/1984,1.16
5/1/1984,0.982
6/1/1984,0.737
7/1/1984,0.416
8/1/1984,0.368
9/1/1984,0.823
10/1/1984,0.943
11/1/1984,0.862
12/1/1984,0.252
1/1/1985,0.324
2/1/1985,-0.065
3/1/1985,0.231
4/1/1985,0.319
5/1/1985,0.156
6/1/1985,-0.045
7/1/1985,0.178
8/1/1985,-0.233
9/1/1985,-0.936
10/1/1985,-1.183
11/1/1985,-1.794
12/1/1985,-1.681
1/1/1986,-0.769
2/1/1986,-1.449
3/1/1986,-0.466
4/1/1986,-0.967
5/1/1986,-0.498
6/1/1986,-0.666
7/1/1986,-0.941
8/1/1986,-1.018
9/1/1986,-0.768
10/1/1986,-0.294
11/1/1986,-0.501
12/1/1986,-0.456
1/1/1987,0.687
2/1/1987,0.768
3/1/1987,0.285
4/1/1987,0.471
5/1/1987,0.274
6/1/1987,0.394
7/1/1987,0.426
8/1/1987,0.34
9/1/1987,0.17
10/1/1987,0.121
11/1/1987,0.522
12/1/1987,0.692
1/1/1988,1.105
2/1/1988,0.797
3/1/1988,0.968
4/1/1988,1.573
5/1/1988,1.778
6/1/1988,1.743
7/1/1988,1.725
8/1/1988,1.393
9/1/1988,1.316
10/1/1988,1.487
11/1/1988,1.243
12/1/1988,0.755
1/1/1989,1.313
2/1/1989,0.662
3/1/1989,0.929
4/1/1989,0.784
5/1/1989,0.584
6/1/1989,0.522
7/1/1989,1.264
8/1/1989,0.667
9/1/1989,0.654
10/1/1989,0.442
11/1/1989,-0.301
12/1/1989,-0.173
1/1/1990,0.269
2/1/1990,-0.28
3/1/1990,0.653
4/1/1990,0.242
5/1/1990,-0.096
6/1/1990,-0.065
7/1/1990,-0.258
8/1/1990,-0.33
9/1/1990,-0.159
10/1/1990,-0.12
11/1/1990,-0.739
12/1/1990,-1.533
1/1/1991,-0.744
2/1/1991,-0.305
3/1/1991,-0.807
4/1/1991,-0.206
5/1/1991,-0.06
6/1/1991,-0.388
7/1/1991,-0.479
8/1/1991,-0.574
9/1/1991,-0.949
10/1/1991,-1.09
11/1/1991,-0.172
12/1/1991,-0.213
1/1/1992,0.493
2/1/1992,-0.457
3/1/1992,-0.821
4/1/1992,-1.434
5/1/1992,-1.796
6/1/1992,-1.351
7/1/1992,-1.462
8/1/1992,-1.247
9/1/1992,-0.947
10/1/1992,-0.969
11/1/1992,-1.281
12/1/1992,-1.869
1/1/1993,-2.817
2/1/1993,-2.141
3/1/1993,-1.742
4/1/1993,-0.759
5/1/1993,-1.089
6/1/1993,-1.682
7/1/1993,-1.679
8/1/1993,-1.514
9/1/1993,-2.047
10/1/1993,-2.354
11/1/1993,-2.999
12/1/1993,-2.001
1/1/1994,-1.854
2/1/1994,-1.979
3/1/1994,-1.856
4/1/1994,-1.447
5/1/1994,-0.301
6/1/1994,-0.612
7/1/1994,-0.711
8/1/1994,-0.859
9/1/1994,-1.105
10/1/1994,-1.111
11/1/1994,-1.688
12/1/1994,-1.017
1/1/1995,-0.499
2/1/1995,-1.561
3/1/1995,-2.055
4/1/1995,-1.825
5/1/1995,-1.504
6/1/1995,-1.048
7/1/1995,-1.499
8/1/1995,-1.006
9/1/1995,-0.894
10/1/1995,-0.518
11/1/1995,-0.277
12/1/1995,0.216
1/1/1996,-0.639
2/1/1996,-1.053
3/1/1996,-1.149
4/1/1996,-0.436
5/1/1996,-1.275
6/1/1996,-1.06
7/1/1996,-0.884
8/1/1996,-0.748
9/1/1996,-0.934
10/1/1996,-1.041
11/1/1996,-1.1
12/1/1996,-1.355
1/1/1997,-1.64
2/1/1997,-1.113
3/1/1997,-0.618
4/1/1997,-0.506
5/1/1997,-0.877
6/1/1997,-0.938
7/1/1997,-0.772
8/1/1997,-0.786
9/1/1997,-0.481
10/1/1997,-0.594
11/1/1997,0.174
12/1/1997,0.261
1/1/1998,0.528
2/1/1998,1.9
3/1/1998,0.893
4/1/1998,0.522
5/1/1998,0.278
6/1/1998,0.119
7/1/1998,0.393
8/1/1998,0.273
9/1/1998,0.044
10/1/1998,0.099
11/1/1998,0.717
12/1/1998,0.769
1/1/1999,1.083
2/1/1999,2.304
3/1/1999,1.974
4/1/1999,1.646
5/1/1999,1.605
6/1/1999,1.905
7/1/1999,1.381
8/1/1999,1.433
9/1/1999,1.305
10/1/1999,1.179
11/1/1999,1.321
12/1/1999,1.053
1/1/2000,1.405
2/1/2000,2.124
3/1/2000,2.149
4/1/2000,2.365
5/1/2000,2.22
6/1/2000,2.102
7/1/2000,1.656
8/1/2000,1.352
9/1/2000,1.38
10/1/2000,1.698
11/1/2000,2.015
12/1/2000,2.165
1/1/2001,2.862
2/1/2001,2.956
3/1/2001,2.389
4/1/2001,2.204
5/1/2001,1.954
6/1/2001,2.349
7/1/2001,1.5
8/1/2001,1.915
9/1/2001,1.893
10/1/2001,1.162
11/1/2001,1.765
12/1/2001,2.019
1/1/2002,1.864
2/1/2002,2.177
3/1/2002,1.898
4/1/2002,0.897
5/1/2002,1.103
6/1/2002,1.605
7/1/2002,1.382
8/1/2002,0.812
9/1/2002,0.824
10/1/2002,0.824
11/1/2002,1.659
12/1/2002,2.637
1/1/2003,1.969
2/1/2003,0.993
3/1/2003,1.491
4/1/2003,1.102
5/1/2003,0.919
6/1/2003,0.778
7/1/2003,1.202
8/1/2003,0.782
9/1/2003,0.869
10/1/2003,1.287
11/1/2003,-0.114
12/1/2003,0.224
1/1/2004,0.265
2/1/2004,0.667
3/1/2004,0.383
4/1/2004,0.125
5/1/2004,0.207
6/1/2004,0.776
7/1/2004,0.412
8/1/2004,0.685
9/1/2004,0.376
10/1/2004,0.043
11/1/2004,-0.442
12/1/2004,-0.985
1/1/2005,-1.935
2/1/2005,-1.599
3/1/2005,-1.427
4/1/2005,-1.717
5/1/2005,-0.782
6/1/2005,-1.397
7/1/2005,-1.558
8/1/2005,-1.139
9/1/2005,-1.834
10/1/2005,-1.036
11/1/2005,-1.742
12/1/2005,-1.463
1/1/2006,-0.705
2/1/2006,-0.962
3/1/2006,-0.735
4/1/2006,-0.641
5/1/2006,-0.109
6/1/2006,-0.134
7/1/2006,-0.264
8/1/2006,-0.269
9/1/2006,-0.483
10/1/2006,-0.909
11/1/2006,-1.164
12/1/2006,-0.223
1/1/2007,-0.287
2/1/2007,-0.023
3/1/2007,-0.637
4/1/2007,0.209
5/1/2007,0.515
6/1/2007,1.27
7/1/2007,1.338
8/1/2007,1.242
9/1/2007,0.715
10/1/2007,1.389
11/1/2007,0.715
12/1/2007,0.508
1/1/2008,0.787
2/1/2008,1.265
3/1/2008,1.327
4/1/2008,1.36
5/1/2008,1.734
6/1/2008,1.554
7/1/2008,1.628
8/1/2008,2.128
9/1/2008,2.198
10/1/2008,1.724
11/1/2008,1.768
12/1/2008,0.441
1/1/2009,0.723
2/1/2009,0.831
3/1/2009,0.06
4/1/2009,0.222
5/1/2009,0.492
6/1/2009,0.425
7/1/2009,0.337
8/1/2009,0.366
9/1/2009,1.027
10/1/2009,1.097
11/1/2009,0.944
12/1/2009,1.162
1/1/2010,2.024
2/1/2010,1.835
3/1/2010,1.652
4/1/2010,1.129
5/1/2010,1.981
6/1/2010,1.313
7/1/2010,0.823
8/1/2010,0.832
9/1/2010,1.008
10/1/2010,1.432
11/1/2010,0.743
12/1/2010,0.703
1/1/2011,0.21
2/1/2011,0.287
3/1/2011,1.145
4/1/2011,0.721
5/1/2011,1.672
6/1/2011,1.174
7/1/2011,0.585
8/1/2011,0.931
9/1/2011,1.371
10/1/2011,1.03
11/1/2011,0.323
12/1/2011,0.029
1/1/2012,0.667
2/1/2012,0.718
3/1/2012,1.034
4/1/2012,2.089
5/1/2012,1.812
6/1/2012,1.885
7/1/2012,1.667
8/1/2012,1.753
9/1/2012,1.445
10/1/2012,1.641
11/1/2012,1.27
12/1/2012,1.093
1/1/2013,1.148
2/1/2013,1.111
3/1/2013,0.692
4/1/2013,0.589
5/1/2013,1.012
6/1/2013,0.692
7/1/2013,0.342
8/1/2013,0.757
9/1/2013,0.354
10/1/2013,-0.205
11/1/2013,-0.771
12/1/2013,-1.362
1/1/2014,-0.578
2/1/2014,-0.231
3/1/2014,-0.384
4/1/2014,-0.252
5/1/2014,0.31
6/1/2014,-0.428
7/1/2014,-0.112
8/1/2014,-0.515
9/1/2014,-0.875
10/1/2014,0.459
11/1/2014,0.476
12/1/2014,-0.225
1/1/2015,-0.776
2/1/2015,-1.317
3/1/2015,-1.285
4/1/2015,-1.203
5/1/2015,-0.744
6/1/2015,-1.267
7/1/2015,-1.271
8/1/2015,-1.927
9/1/2015,-2.265
10/1/2015,-1.238
11/1/2015,-2.143
12/1/2015,-1.134
1/1/2016,0.949
2/1/2016,0.262
3/1/2016,0.623
4/1/2016,-0.247
5/1/2016,-0.715
6/1/2016,-1.015
7/1/2016,-0.495
8/1/2016,-0.86
9/1/2016,-0.735
10/1/2016,0.676
11/1/2016,1.289
12/1/2016,-1.656
1/1/2017,-0.184
2/1/2017,-0.603
3/1/2017,-0.85
4/1/2017,-0.076
5/1/2017,-0.438
6/1/2017,-0.335
7/1/2017,-0.539
8/1/2017,-0.608
9/1/2017,-0.491
10/1/2017,-1.364
11/1/2017,-2.077
12/1/2017,-2.744
1/1/2018,-1.473
2/1/2018,-2.251
3/1/2018,-2.087
4/1/2018,-2.017
5/1/2018,-1.941
6/1/2018,-2.041
7/1/2018,-1.826
8/1/2018,-2.283
9/1/2018,-2.348
10/1/2018,-2.358
11/1/2018,-1.822
12/1/2018,-1.124
1/1/2019,-0.888
2/1/2019,-2.605
3/1/2019,-1.982
4/1/2019,-2.068
5/1/2019,-1.802
6/1/2019,-2.388
7/1/2019,-2.228
8/1/2019,-2.177
9/1/2019,-2.553
10/1/2019,-2.602
11/1/2019,-3.423
12/1/2019,-2.632
1/1/2020,-1.561
2/1/2020,-2.369
3/1/2020,-1.938
4/1/2020,-1.987
5/1/2020,-1.523
6/1/2020,-1.943
7/1/2020,-2.124
8/1/2020,-1.463
9/1/2020,-1.279
10/1/2020,-1.849
11/1/2020,-2.659
12/1/2020,-1.42
1/1/2021,-0.642
2/1/2021,-1.131
3/1/2021,-0.847
4/1/2021,-1.855
5/1/2021,-0.824
6/1/2021,-0.579
7/1/2021,-0.775
8/1/2021,-1.061
9/1/2021,-0.695
10/1/2021,-0.088
11/1/2021,-0.367
12/1/2021,-2.088
1/1/2022,-1.415
2/1/2022,-2.094
3/1/2022,-1.104
4/1/2022,-0.64
5/1/2022,-0.408
6/1/2022,-0.672
7/1/2022,-0.482
8/1/2022,-0.648
9/1/2022,-1.122
10/1/2022,-1.88
11/1/2022,-2.119
12/1/2022,-2.563
1/1/2023,-1.366
2/1/2023,-1.99
3/1/2023,-2.633
4/1/2023,-1.931
5/1/2023,-1.458
6/1/2023,-1.527
7/1/2023,-1.734
8/1/2023,-1.714
9/1/2023,-1.668
10/1/2023,-0.895
11/1/2023,-1.674
12/1/2023,-1.577
1/1/2024,-1.784
2/1/2024,-1.916
3/1/2024,-2.046
4/1/2024,-2.495
5/1/2024,-2.067
6/1/2024,-1.605
7/1/2024,-1.442
8/1/2024,-1.771
9/1/2024,-1.924
10/1/2024,-2.156
11/1/2024,-2.434
12/1/2024,-1.959
1/1/2025,-2.576
2/1/2025,-2.557
3/1/2025,-1.46
4/1/2025,-9999
5/1/2025,-9999
6/1/2025,-9999
7/1/2025,-9999
8/1/2025,-9999
9/1/2025,-9999
10/1/2025,-9999
11/1/2025,-9999
12/1/2025,-9999
